"Based on LIS, as of January 31, 2024",,,,,,,,,,,,,, Kindergarten ,, Grade 1 ,, Grade 2 ,, Grade 3 ,, Grade 4 ,, Grade 5 ,, Grade 6 ,, SNEd (Non-Graded ES) ,, Grade 7 ,, Grade 8 ,, Grade 9 ,, Grade 10 ,, SNEd (Non-Graded JHS) ,, Grade 11 ABM ,, Grade 11 HUMSS ,, Grade 11 STEM ,, Grade 11 GAS ,, Grade 11 PBM ,, Grade 11 TVL ,, Grade 11 SPORTs ,, Grade 11 ARTs & DESIGN ,, Grade 12 ABM ,, Grade 12 HUMSS ,, Grade 12 STEM ,, Grade 12 GAS ,, Grade 12 PBM ,, Grade 12 TVL ,, Grade 12 SPORTs ,, Grade 12 ARTs & DESIGN ,
,,,,,,,,,,,,,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region VII,Bohol,Clarin,118196,Mataub ES,Mataub,BOHOL,CLARIN,2nd District,MATAUB,Public,DepED Managed,School with no Annexes,Purely ES,6,3,6,8,3,5,10,9,7,2,6,5,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Clarin,118197,Nahawan ES,Nahawan,BOHOL,CLARIN,2nd District,NAHAWAN,Public,DepED Managed,School with no Annexes,Purely ES,21,16,19,22,19,23,22,22,30,19,31,34,30,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Clarin,118198,Tontunan ES,Tontunan,BOHOL,CLARIN,2nd District,TONTUNAN,Public,DepED Managed,School with no Annexes,Purely ES,4,4,5,3,5,10,6,2,5,0,8,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Clarin,118199,Tubod PS,Tubod,BOHOL,CLARIN,2nd District,TUBOD,Public,DepED Managed,School with no Annexes,Purely ES,10,5,0,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Clarin,186503,Villaflor ES,Villaflor,BOHOL,CLARIN,1st District,VILLAFLOR,Public,DepED Managed,School with no Annexes,Purely ES,4,5,3,3,2,7,3,5,7,7,5,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Clarin,302836,Clarin National School of Fisheries,Poblacion Sur,BOHOL,CLARIN,2nd District,POBLACION SUR,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,61,108,85,93,89,83,70,0,0,0,0,0,0,0,0,36,43,0,0,53,27,0,0,0,0,0,0,0,0,0,0,29,52,0,0,30,36,0,0,0,0
Region VII,Bohol,Clarin,302879,Nahawan NHS,Nahawan,BOHOL,CLARIN,2nd District,NAHAWAN,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,48,58,58,52,40,73,0,0,0,0,6,24,0,0,11,11,0,0,25,13,0,0,0,0,0,0,17,32,0,0,0,0,0,0,61,9,0,0,0,0
Region VII,Bohol,Clarin,408146,Clarin Baptist School Inc.,Candajec,BOHOL,CLARIN,2nd District,CANDAJEC,Private,Sectarian ,School with no Annexes,Purely ES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Clarin,446542,"Presentation of Mary School of Clarin, Inc.",Poblacion Centro,BOHOL,CLARIN,3rd District,POBLACION CENTRO,Private,Sectarian ,School with no Annexes,All Offering,7,11,13,3,7,3,6,7,2,4,2,1,1,2,0,0,13,12,20,17,18,15,26,17,0,0,0,0,30,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Clarin,500217,Danahaw IS,Danahaw,BOHOL,CLARIN,2nd District,DANAHAO,Public,DepED Managed,School with no Annexes,All Offering,11,5,18,13,9,10,18,17,12,9,17,10,20,21,0,0,19,10,13,12,19,20,23,17,0,0,0,0,0,0,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,118201,Canapnapan Elementary School,Canapnapan,BOHOL,CORELLA,1st District,CANAPNAPAN,Public,DepED Managed,School with no Annexes,Purely ES,4,5,3,4,8,5,6,4,6,7,7,6,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,118202,Cancatac ES,Cancatac,BOHOL,CORELLA,1st District,CANCATAC,Public,DepED Managed,School with no Annexes,Purely ES,14,7,6,5,10,8,4,8,5,6,9,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,118203,Corella Central ES,Poblacion,BOHOL,CORELLA,1st District,POBLACION,Public,DepED Managed,School with no Annexes,Purely ES,8,8,13,17,21,17,23,11,17,13,22,16,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,118204,Sambog ES,Sambog,BOHOL,CORELLA,1st District,SAMBOG,Public,DepED Managed,School with no Annexes,Purely ES,9,15,5,15,18,16,12,7,14,11,16,20,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,118205,Tanday ES,Tanday,BOHOL,CORELLA,1st District,TANDAY,Public,DepED Managed,School with no Annexes,Purely ES,6,5,1,5,3,7,5,9,5,5,10,7,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,186510,Pandol Primary School,Pandol,BOHOL,CORELLA,1st District,PANDOL,Public,DepED Managed,School with no Annexes,Purely ES,5,4,5,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,186511,Anislag ES,Anislag,BOHOL,CORELLA,1st District,ANISLAG,Public,DepED Managed,School with no Annexes,Purely ES,9,7,7,8,9,11,14,6,11,13,9,16,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,302839,Corella National High School,Poblacion,BOHOL,CORELLA,1st District,POBLACION,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,63,72,77,90,86,82,90,0,0,2,12,43,48,7,24,0,0,0,0,60,33,0,0,0,0,4,10,44,36,3,26,0,0,0,0,66,58,0,0,0,0
Region VII,Bohol,Corella,446536,"Lance Scitech Academy of Bohol, Inc.","Hillside Drive ,Poblacion,Corella,Bohol",BOHOL,CORELLA,1st District,POBLACION,Private,Sectarian ,School with no Annexes,All Offering,6,6,13,5,6,3,2,5,8,4,6,3,7,6,0,0,3,5,5,2,5,1,2,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Corella,500212,Canangcaan Integrated School,Canangcaan,BOHOL,CORELLA,1st District,CANANGCA-AN,Public,DepED Managed,School with no Annexes,ES and JHS,5,10,5,4,7,8,11,5,6,6,12,7,11,7,0,0,10,14,15,13,12,13,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118206,Cortes Central ES,Poblacion,BOHOL,CORTES,1st District,POBLACION,Public,DepED Managed,School with no Annexes,Purely ES,23,15,20,16,30,16,11,18,22,15,23,17,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118207,Dela Paz ES,De La Paz,BOHOL,CORTES,1st District,DE LA PAZ,Public,DepED Managed,School with no Annexes,Purely ES,22,19,28,16,12,23,25,20,17,11,24,22,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118208,Fatima ES,Purok 1,BOHOL,CORTES,1st District,FATIMA,Public,DepED Managed,School with no Annexes,Purely ES,11,8,10,9,5,5,12,12,8,10,16,3,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118209,Loreto ES,Purok 5,BOHOL,CORTES,1st District,LORETO,Public,DepED Managed,School with no Annexes,Purely ES,8,8,9,8,11,6,14,13,12,7,15,12,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118210,Lourdes ES,"Lourdes, Cortes Bohol",BOHOL,CORTES,1st District,LOURDES,Public,DepED Managed,School with no Annexes,Purely ES,16,19,19,17,23,16,24,20,19,11,24,15,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118211,Malayo ES,Eugenio Payot Street,BOHOL,CORTES,1st District,MALAYO NORTE,Public,DepED Managed,School with no Annexes,Purely ES,9,13,13,10,7,12,9,11,12,10,19,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118212,Monserrat Elementary School,Monserrat,BOHOL,CORTES,1st District,MONSERRAT,Public,DepED Managed,School with no Annexes,Purely ES,4,4,4,1,5,2,3,5,1,1,9,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118213,New Lourdes ES,New Lourdes,BOHOL,CORTES,1st District,NEW LOURDES,Public,DepED Managed,School with no Annexes,Purely ES,3,4,9,9,8,7,13,17,6,6,13,13,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118214,Patrocinio ES,Patrocinio,BOHOL,CORTES,1st District,PATROCINIO,Public,DepED Managed,School with no Annexes,Purely ES,7,7,8,9,15,6,8,11,8,12,8,3,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118215,Rosario ES,"Rosario, Cortes, Bohol",BOHOL,CORTES,1st District,ROSARIO,Public,DepED Managed,School with no Annexes,Purely ES,4,4,9,1,9,3,8,4,4,3,6,6,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118216,San Roque Elementary School,San Roque,BOHOL,CORTES,1st District,SAN ROQUE,Public,DepED Managed,School with no Annexes,Purely ES,8,14,14,11,8,15,7,8,16,14,25,13,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,118217,Upper Dela Paz Elementary School,Upper dela Paz,BOHOL,CORTES,1st District,UPPER DE LA PAZ,Public,DepED Managed,School with no Annexes,Purely ES,5,9,5,6,10,6,12,11,12,7,7,6,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,302850,Fatima NHS,Fatima,BOHOL,CORTES,1st District,FATIMA,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,32,32,25,39,30,33,42,0,0,0,0,0,0,0,0,29,16,0,0,3,7,0,0,0,0,0,0,0,0,0,0,21,18,0,0,11,6,0,0,0,0
Region VII,Bohol,Cortes,305722,De La Paz High School,"De La Paz, Cortes, Bohol",BOHOL,CORTES,1st District,DE LA PAZ,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,21,22,28,31,21,32,23,0,0,0,0,0,0,0,0,18,10,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,306073,Loreto High School,"Barangay Loreto, Cortes, Bohol",BOHOL,CORTES,1st District,LORETO,Public,DepED Managed,School with no Annexes,Purely JHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,13,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,312355,Lourdes High School,Lourdes,BOHOL,CORTES,1st District,LOURDES,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,27,22,28,29,23,17,0,0,0,0,7,10,0,0,0,0,0,0,19,7,0,0,0,0,0,0,6,11,0,0,0,0,0,0,19,10,0,0,0,0
Region VII,Bohol,Cortes,404243,Infant King Academy,Poblacion,BOHOL,CORTES,1st District,POBLACION,Private,Sectarian ,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,47,30,47,33,39,28,0,0,0,0,0,0,0,0,28,33,0,0,25,3,0,0,0,0,0,0,0,0,0,0,54,62,0,0,20,5,0,0,0,0
Region VII,Bohol,Cortes,408212,"Bohol Integrated School for Business & Arts, Inc.","Purok VI, Dela Paz",BOHOL,CORTES,1st District,DE LA PAZ,Private,Sectarian ,School with no Annexes,Purely ES,2,4,5,3,6,0,8,7,2,2,4,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,446510,Bohol International Learning College,"De La Paz, Cortes, Bohol",BOHOL,CORTES,1st District,DE LA PAZ,Private,Sectarian ,School with no Annexes,All Offering,3,2,3,4,4,0,2,2,0,0,2,2,1,1,0,0,1,7,8,0,6,2,5,5,0,0,1,7,2,13,0,0,11,21,0,0,2,5,0,0,0,0,0,3,2,2,0,0,4,7,0,0,5,2,0,0,0,0
Region VII,Bohol,Cortes,446555,Ancillae Trinitatis Learning Center,"Salvador, Cortes, Bohol",BOHOL,CORTES,1st District,POBLACION,Private,Sectarian ,School with no Annexes,Purely ES,11,7,10,6,5,4,10,6,6,1,8,9,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Cortes,446632,"Golden Link College Foundation, Inc. (Cortes Branch)",De La Paz,BOHOL,CORTES,1st District,DE LA PAZ,Private,Non-Sectarian ,School with no Annexes,ES and JHS,12,14,18,14,13,14,21,11,17,8,10,5,8,10,0,0,7,4,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118218,Babag ES,Babag,BOHOL,DAGOHOY,2nd District,BABAG,Public,DepED Managed,School with no Annexes,Purely ES,10,9,7,13,16,11,10,11,8,8,14,7,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118219,Cagawasan ES,Cagawasan,BOHOL,DAGOHOY,2nd District,CAGAWASAN,Public,DepED Managed,School with no Annexes,Purely ES,7,12,5,15,12,17,13,9,10,9,16,14,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118220,Caluasan ES,Caluasan,BOHOL,DAGOHOY,2nd District,CALUASAN,Public,DepED Managed,School with no Annexes,Purely ES,17,25,16,27,17,14,23,19,14,17,14,22,22,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118221,Candelaria ES,Candelaria,BOHOL,DAGOHOY,2nd District,CANDELARIA,Public,DepED Managed,School with no Annexes,Purely ES,4,10,8,5,11,5,7,8,10,9,13,10,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118222,Can-oling ES,Can-oling,BOHOL,DAGOHOY,2nd District,CAN-OLING,Public,DepED Managed,School with no Annexes,Purely ES,4,2,5,4,5,9,10,12,7,3,11,8,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118223,Dagohoy Central Elementary,Poblacion,BOHOL,DAGOHOY,2nd District,POBLACION,Public,DepED Managed,School with no Annexes,Purely ES,22,20,24,25,28,26,29,24,16,21,31,25,30,30,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118224,Estaca ES,"Purok 1, Estaca",BOHOL,DAGOHOY,2nd District,ESTACA,Public,DepED Managed,School with no Annexes,Purely ES,6,6,6,8,12,5,3,9,6,2,15,9,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118225,Kagawitan ES,Cagawitan,BOHOL,DAGOHOY,2nd District,CAGAWITAN,Public,DepED Managed,School with no Annexes,Purely ES,9,4,4,7,8,6,8,7,6,7,9,8,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118226,La Esperanza ES,La Esperanza,BOHOL,DAGOHOY,2nd District,LA ESPERANZA,Public,DepED Managed,School with no Annexes,Purely ES,11,6,6,11,10,8,5,6,8,13,19,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118227,Mahayag Elementary School,Mahayag,BOHOL,DAGOHOY,2nd District,MAHAYAG,Public,DepED Managed,School with no Annexes,Purely ES,13,4,8,5,12,9,8,9,12,7,12,11,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118228,Malitbog Elementary School,"Lawagon St., Malitbog",BOHOL,DAGOHOY,2nd District,MALITBOG,Public,DepED Managed,School with no Annexes,Purely ES,11,12,16,24,20,16,21,23,18,16,21,17,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118229,San Miguel ES,San Miguel,BOHOL,DAGOHOY,2nd District,SAN MIGUEL,Public,DepED Managed,School with no Annexes,Purely ES,34,26,31,32,38,38,43,21,35,25,30,39,30,29,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118230,San Vicente ES,San Vicente,BOHOL,DAGOHOY,2nd District,SAN VICENTE,Public,DepED Managed,School with no Annexes,Purely ES,15,14,11,15,19,12,18,13,19,15,15,27,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118231,Sta. Cruz ES,Sta. Cruz,BOHOL,DAGOHOY,2nd District,SANTA CRUZ,Public,DepED Managed,School with no Annexes,Purely ES,5,12,11,4,6,11,9,7,9,9,12,7,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,118233,Villa Aurora ES,Villa Aurora,BOHOL,DAGOHOY,2nd District,VILLA AURORA,Public,DepED Managed,School with no Annexes,Purely ES,4,2,1,4,2,3,6,4,4,3,7,4,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Dagohoy,302840,Dagohoy NHS,"Sikatuna St., Poblacion",BOHOL,DAGOHOY,2nd District,POBLACION,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,87,119,107,87,123,112,114,0,0,0,0,0,0,0,0,20,16,0,0,110,73,0,0,0,0,0,0,0,0,0,0,14,41,0,0,121,68,0,0,0,0
Region VII,Bohol,Dagohoy,312321,San Miguel-Puertos HS,San Miguel,BOHOL,DAGOHOY,2nd District,SAN MIGUEL,Public,DepED Managed,School with no Annexes,JHS with SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,42,25,36,28,31,33,0,0,0,0,0,0,0,0,6,10,0,0,21,19,0,0,0,0,0,0,0,0,0,0,5,11,0,0,32,14,0,0,0,0
Region VII,Bohol,Dagohoy,446570,"ST. THERESE SCHOOL OF JAGNA, INC. (DAGOHOY BRANCH)","Poblacion, Dagohoy, Bohol",BOHOL,DAGOHOY,2nd District,POBLACION,Private,Sectarian ,School with no Annexes,Purely ES,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118234,Cabatuan ES,Cabatuan,BOHOL,DANAO,2nd District,CABATUAN,Public,DepED Managed,School with no Annexes,Purely ES,10,7,9,11,14,10,9,7,7,9,3,6,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118235,Cantubod ES,"Purok 1, Cantubod",BOHOL,DANAO,2nd District,CANTUBOD,Public,DepED Managed,School with no Annexes,Purely ES,8,9,12,10,9,18,8,16,17,12,9,16,13,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118236,Carbon ES,Carbon,BOHOL,DANAO,2nd District,CARBON,Public,DepED Managed,School with no Annexes,Purely ES,2,5,5,5,6,6,2,2,7,1,4,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region VII,Bohol,Danao,118237,Concepcion ES,Concepcion,BOHOL,DANAO,2nd District,CONCEPCION,Public,DepED Managed,School with no Annexes,Purely ES,17,9,14,11,14,13,12,10,15,16,9,8,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
